Data,Ultimo
31.12.2020,"5,1935"
30.12.2020,"5,1937"
29.12.2020,"5,2099"
28.12.2020,"5,2461"
24.12.2020,"5,2165"
23.12.2020,"5,2164"
22.12.2020,"5,1597"
21.12.2020,"5,1222"
18.12.2020,"5,1022"
17.12.2020,"5,0582"
16.12.2020,"5,0838"
15.12.2020,"5,0842"
14.12.2020,"5,1189"
11.12.2020,"5,0656"
10.12.2020,"5,0256"
09.12.2020,"5,1708"
08.12.2020,"5,1202"
07.12.2020,"5,0990"
04.12.2020,"5,1557"
03.12.2020,"5,1515"
02.12.2020,"5,2175"
01.12.2020,"5,2061"
30.11.2020,"5,3319"
27.11.2020,"5,3438"
26.11.2020,"5,3365"
25.11.2020,"5,3237"
24.11.2020,"5,3736"
23.11.2020,"5,4390"
20.11.2020,"5,3797"
19.11.2020,"5,3054"
18.11.2020,"5,3629"
17.11.2020,"5,3281"
16.11.2020,"5,4152"
13.11.2020,"5,4582"
12.11.2020,"5,4581"
11.11.2020,"5,3910"
10.11.2020,"5,4147"
09.11.2020,"5,3858"
06.11.2020,"5,3647"
05.11.2020,"5,5250"
04.11.2020,"5,6635"
03.11.2020,"5,7560"
02.11.2020,"5,7425"
30.10.2020,"5,7446"
29.10.2020,"5,7790"
28.10.2020,"5,7457"
27.10.2020,"5,7055"
26.10.2020,"5,6229"
23.10.2020,"5,6175"
22.10.2020,"5,5893"
21.10.2020,"5,6066"
20.10.2020,"5,6054"
19.10.2020,"5,6069"
16.10.2020,"5,6428"
15.10.2020,"5,6126"
14.10.2020,"5,5912"
13.10.2020,"5,5693"
09.10.2020,"5,5318"
08.10.2020,"5,5987"
07.10.2020,"5,6097"
06.10.2020,"5,5930"
05.10.2020,"5,5743"
02.10.2020,"5,6851"
01.10.2020,"5,6437"
30.09.2020,"5,6112"
29.09.2020,"5,6344"
28.09.2020,"5,6627"
25.09.2020,"5,5624"
24.09.2020,"5,5089"
23.09.2020,"5,5943"
22.09.2020,"5,4704"
21.09.2020,"5,4131"
18.09.2020,"5,3876"
17.09.2020,"5,2394"
16.09.2020,"5,2377"
15.09.2020,"5,2748"
14.09.2020,"5,2706"
11.09.2020,"5,3189"
10.09.2020,"5,3210"
09.09.2020,"5,3078"
08.09.2020,"5,3638"
04.09.2020,"5,3012"
03.09.2020,"5,2914"
02.09.2020,"5,3403"
01.09.2020,"5,3960"
31.08.2020,"5,4914"
28.08.2020,"5,3881"
27.08.2020,"5,5691"
26.08.2020,"5,6054"
25.08.2020,"5,5075"
24.08.2020,"5,6100"
21.08.2020,"5,6192"
20.08.2020,"5,5568"
19.08.2020,"5,5575"
18.08.2020,"5,4666"
17.08.2020,"5,5090"
14.08.2020,"5,4204"
13.08.2020,"5,3690"
12.08.2020,"5,4333"
11.08.2020,"5,3800"
10.08.2020,"5,4812"
07.08.2020,"5,4383"
06.08.2020,"5,3315"
05.08.2020,"5,2902"
04.08.2020,"5,2900"
03.08.2020,"5,3213"
31.07.2020,"5,2240"
30.07.2020,"5,1534"
29.07.2020,"5,1692"
28.07.2020,"5,1533"
27.07.2020,"5,1447"
24.07.2020,"5,2329"
23.07.2020,"5,2112"
22.07.2020,"5,1166"
21.07.2020,"5,1713"
20.07.2020,"5,3283"
17.07.2020,"5,3849"
16.07.2020,"5,3311"
15.07.2020,"5,3698"
14.07.2020,"5,3674"
13.07.2020,"5,4040"
10.07.2020,"5,3238"
09.07.2020,"5,3413"
08.07.2020,"5,3422"
07.07.2020,"5,3790"
06.07.2020,"5,3562"
03.07.2020,"5,3158"
02.07.2020,"5,3596"
01.07.2020,"5,3174"
30.06.2020,"5,4661"
29.06.2020,"5,4034"
26.06.2020,"5,4840"
25.06.2020,"5,3561"
24.06.2020,"5,3467"
23.06.2020,"5,1542"
22.06.2020,"5,2524"
19.06.2020,"5,3105"
18.06.2020,"5,3776"
17.06.2020,"5,2286"
16.06.2020,"5,2430"
15.06.2020,"5,1557"
12.06.2020,"5,0505"
11.06.2020,"4,9760"
10.06.2020,"4,9732"
09.06.2020,"4,8992"
08.06.2020,"4,8230"
05.06.2020,"4,9585"
04.06.2020,"5,1190"
03.06.2020,"5,0622"
02.06.2020,"5,2014"
01.06.2020,"5,3633"
29.05.2020,"5,3361"
28.05.2020,"5,4045"
27.05.2020,"5,2733"
26.05.2020,"5,3450"
25.05.2020,"5,4461"
22.05.2020,"5,5338"
21.05.2020,"5,5507"
20.05.2020,"5,6925"
19.05.2020,"5,7540"
18.05.2020,"5,7190"
15.05.2020,"5,8554"
14.05.2020,"5,8115"
13.05.2020,"5,8852"
12.05.2020,"5,8856"
11.05.2020,"5,8180"
08.05.2020,"5,7319"
07.05.2020,"5,8307"
06.05.2020,"5,7140"
05.05.2020,"5,5783"
04.05.2020,"5,5450"
01.05.2020,"5,4856"
30.04.2020,"5,4858"
29.04.2020,"5,3348"
28.04.2020,"5,4999"
27.04.2020,"5,6526"
24.04.2020,"5,5907"
23.04.2020,"5,5335"
22.04.2020,"5,4580"
21.04.2020,"5,3163"
20.04.2020,"5,3168"
17.04.2020,"5,2363"
16.04.2020,"5,2333"
15.04.2020,"5,2367"
14.04.2020,"5,1621"
13.04.2020,"5,1994"
10.04.2020,"5,1063"
09.04.2020,"5,1070"
08.04.2020,"5,1233"
07.04.2020,"5,2214"
06.04.2020,"5,2863"
03.04.2020,"5,3506"
02.04.2020,"5,2533"
01.04.2020,"5,2493"
31.03.2020,"5,2046"
30.03.2020,"5,1936"
27.03.2020,"5,0997"
26.03.2020,"5,0212"
25.03.2020,"5,0353"
24.03.2020,"5,0983"
23.03.2020,"5,1444"
20.03.2020,"5,0627"
19.03.2020,"5,0957"
18.03.2020,"5,1064"
17.03.2020,"5,0084"
16.03.2020,"5,0002"
13.03.2020,"4,8580"
12.03.2020,"4,7910"
11.03.2020,"4,8136"
10.03.2020,"4,6425"
09.03.2020,"4,7231"
06.03.2020,"4,6269"
05.03.2020,"4,6073"
04.03.2020,"4,5847"
03.03.2020,"4,5144"
02.03.2020,"4,4740"
28.02.2020,"4,4733"
27.02.2020,"4,4861"
26.02.2020,"4,4502"
25.02.2020,"4,3878"
24.02.2020,"4,3878"
21.02.2020,"4,3895"
20.02.2020,"4,3933"
19.02.2020,"4,3649"
18.02.2020,"4,3557"
17.02.2020,"4,3270"
14.02.2020,"4,2974"
13.02.2020,"4,3498"
12.02.2020,"4,3548"
11.02.2020,"4,3316"
10.02.2020,"4,3248"
07.02.2020,"4,3203"
06.02.2020,"4,2822"
05.02.2020,"4,2353"
04.02.2020,"4,2545"
03.02.2020,"4,2476"
31.01.2020,"4,2820"
30.01.2020,"4,2430"
29.01.2020,"4,2303"
28.01.2020,"4,1943"
27.01.2020,"4,2074"
24.01.2020,"4,1814"
23.01.2020,"4,1703"
22.01.2020,"4,1826"
21.01.2020,"4,2123"
20.01.2020,"4,1898"
17.01.2020,"4,1616"
16.01.2020,"4,1847"
15.01.2020,"4,1753"
14.01.2020,"4,1326"
13.01.2020,"4,1466"
10.01.2020,"4,0960"
09.01.2020,"4,0925"
08.01.2020,"4,0647"
07.01.2020,"4,0676"
06.01.2020,"4,0616"
03.01.2020,"4,0669"
02.01.2020,"4,0260"
01.01.2020,"4,0195"
31.12.2019,"4,0190"
30.12.2019,"4,0191"
27.12.2019,"4,0456"
26.12.2019,"4,0557"
25.12.2019,"4,0838"
24.12.2019,"4,0833"
23.12.2019,"4,0833"
20.12.2019,"4,1022"
19.12.2019,"4,0694"
18.12.2019,"4,0630"
17.12.2019,"4,0716"
16.12.2019,"4,0628"
13.12.2019,"4,1080"
12.12.2019,"4,0905"
11.12.2019,"4,1238"
10.12.2019,"4,1467"
